dataset,n_estimators,effective_estimators,train_error,test_error
Breast Cancer Wisconsin,1,1,0.07675438596491224,0.16814159292035402
Breast Cancer Wisconsin,10,10,0.030701754385964897,0.053097345132743334
Breast Cancer Wisconsin,20,20,0.015350877192982448,0.026548672566371723
Breast Cancer Wisconsin,30,30,0.004385964912280715,0.03539823008849563
Breast Cancer Wisconsin,40,40,0.002192982456140302,0.026548672566371723
Breast Cancer Wisconsin,50,50,0.0,0.026548672566371723
Breast Cancer Wisconsin,60,60,0.0,0.026548672566371723
Breast Cancer Wisconsin,70,70,0.0,0.026548672566371723
Breast Cancer Wisconsin,80,80,0.0,0.026548672566371723
Breast Cancer Wisconsin,90,90,0.0,0.026548672566371723
Breast Cancer Wisconsin,100,100,0.0,0.026548672566371723
Breast Cancer Wisconsin,110,110,0.0,0.026548672566371723
Breast Cancer Wisconsin,120,120,0.0,0.026548672566371723
Breast Cancer Wisconsin,130,130,0.0,0.026548672566371723
Breast Cancer Wisconsin,140,140,0.0,0.026548672566371723
Breast Cancer Wisconsin,150,150,0.0,0.026548672566371723
Breast Cancer Wisconsin,160,160,0.0,0.026548672566371723
Breast Cancer Wisconsin,170,170,0.0,0.026548672566371723
Breast Cancer Wisconsin,180,180,0.0,0.026548672566371723
Breast Cancer Wisconsin,190,190,0.0,0.03539823008849563
Breast Cancer Wisconsin,200,200,0.0,0.03539823008849563
Adult Income,1,1,0.239289553155551,0.23925061425061422
Adult Income,10,10,0.17295388237702825,0.1710687960687961
Adult Income,20,20,0.156267594820085,0.14997952497952494
Adult Income,30,30,0.15491119414444388,0.14885339885339888
Adult Income,40,40,0.14910170445820747,0.14363226863226863
Adult Income,50,50,0.1484618928187541,0.14312039312039315
Adult Income,60,60,0.1485386702154886,0.14619164619164615
Adult Income,70,70,0.1468495674873317,0.1445536445536445
Adult Income,80,80,0.14628653324461283,0.1416871416871417
Adult Income,90,90,0.1465936428315504,0.1445536445536445
Adult Income,100,100,0.14574909146747195,0.14291564291564296
Adult Income,110,110,0.14551875927726876,0.14230139230139227
Adult Income,120,120,0.1448789476378154,0.14189189189189189
Adult Income,130,130,0.1445974305164559,0.1416871416871417
Adult Income,140,140,0.1449045401033936,0.1414823914823915
Adult Income,150,150,0.1448533551722373,0.1414823914823915
Adult Income,160,160,0.1446742079131904,0.1413800163800164
Adult Income,170,170,0.1445974305164559,0.1414823914823915
Adult Income,180,180,0.1445718380508778,0.1412776412776413
Adult Income,190,190,0.14429032092951832,0.14076576576576572
Adult Income,200,200,0.14434150586067462,0.1411752661752662
Covertype,1,1,0.532636684082898,0.5304530453045304
Covertype,10,10,0.45961350966225845,0.4503450345034503
Covertype,20,20,0.44471388215294616,0.4369436943694369
Covertype,30,30,0.4023649408764781,0.39563956395639566
Covertype,40,40,0.38541536461588455,0.3804380438043804
Covertype,50,50,0.38881527961800955,0.384038403840384
Covertype,60,60,0.3840403989900253,0.3804380438043804
Covertype,70,70,0.37769055773605664,0.37633763376337637
Covertype,80,80,0.3828904277393065,0.3788378837883788
Covertype,90,90,0.38166545836354093,0.37783778377837784
Covertype,100,100,0.3810654733631659,0.37783778377837784
Covertype,110,110,0.37476563085922854,0.37633763376337637
Covertype,120,120,0.41891452713682154,0.4152415241524152
Covertype,130,130,0.3608409789755256,0.35853585358535855
Covertype,140,140,0.4442638934026649,0.4452445244524452
Covertype,150,150,0.4088147796305093,0.41214121412141214
Covertype,160,160,0.3883652908677283,0.39133913391339137
Covertype,170,170,0.401639959001025,0.40424042404240423
Covertype,180,180,0.4377890552736181,0.44024402440244026
Covertype,190,190,0.43213919652008703,0.4344434443444345
Covertype,200,200,0.40041498962525934,0.40344034403440343
MNIST2Class,1,1,0.013108930987821399,0.01420838971583216
MNIST2Class,10,10,0.003890392422192135,0.003721244925575129
MNIST2Class,20,20,0.002029769959404626,0.001691474966170503
MNIST2Class,30,30,0.0016069012178620001,0.002029769959404626
MNIST2Class,40,40,0.0006765899864682456,0.001691474966170503
MNIST2Class,50,50,0.00025372124492561987,0.001691474966170503
MNIST2Class,60,60,0.0001691474966170059,0.0013531799729363803
MNIST2Class,70,70,0.0,0.0013531799729363803
MNIST2Class,80,80,0.0,0.0013531799729363803
MNIST2Class,90,90,0.0,0.0013531799729363803
MNIST2Class,100,100,0.0,0.0013531799729363803
MNIST2Class,110,110,0.0,0.0013531799729363803
MNIST2Class,120,120,0.0,0.0013531799729363803
MNIST2Class,130,130,0.0,0.0013531799729363803
MNIST2Class,140,140,0.0,0.0013531799729363803
MNIST2Class,150,150,0.0,0.0013531799729363803
MNIST2Class,160,160,0.0,0.0013531799729363803
MNIST2Class,170,170,0.0,0.0013531799729363803
MNIST2Class,180,180,0.0,0.0013531799729363803
MNIST2Class,190,190,0.0,0.0013531799729363803
MNIST2Class,200,200,0.0,0.0013531799729363803
