dataset,model,accuracy,macro_f1,auc_roc
Breast Cancer Wisconsin,Decision Tree (ours),0.9557522123893806,0.9518944231587909,0.9453386988598257
Breast Cancer Wisconsin,Decision Stump (ours),0.8230088495575221,0.8189102564102564,0.8397048960429241
Breast Cancer Wisconsin,Decision Tree (sklearn reference),0.9380530973451328,0.9333558008256804,0.9312541918175722
Breast Cancer Wisconsin,Tree accuracy gap vs sklearn,0.017699,,
Adult Income,Decision Tree (ours),0.8209459459459459,0.7552405904042864,0.756479767908403
Adult Income,Decision Stump (ours),0.7607493857493858,0.43206000348857493,0.7571499472511245
Adult Income,Decision Tree (sklearn reference),0.8171580671580672,0.7501713722063409,0.7514969123726042
Adult Income,Tree accuracy gap vs sklearn,0.003788,,
Covertype,Decision Tree (ours),0.8113811381138114,0.7466217836634664,0.8459588913174726
Covertype,Decision Stump (ours),0.43554355435543557,0.10069963078434754,0.7069350221371371
Covertype,Decision Tree (sklearn reference),0.8101810181018102,0.738538760557639,0.8443614283560669
Covertype,Tree accuracy gap vs sklearn,0.0012,,
MNIST2Class,Decision Tree (ours),0.9959404600811907,0.9959236188776713,0.9960120915370734
MNIST2Class,Decision Stump (ours),0.9857916102841678,0.9857236164262585,0.9855071664195488
MNIST2Class,Decision Tree (sklearn reference),0.9952638700947226,0.9952438044415677,0.9952879785754513
MNIST2Class,Tree accuracy gap vs sklearn,0.000677,,
