dataset,fold,model,accuracy,macro_f1,auc_roc
Breast Cancer Wisconsin,1,Single Tree,0.9210526315789473,0.9163609684519443,0.9182771044873895
Breast Cancer Wisconsin,1,AdaBoost,0.9736842105263158,0.9721203228173148,0.9967245332459875
Breast Cancer Wisconsin,1,Random Forest,0.9649122807017544,0.9629870129870131,0.9983622666229938
Breast Cancer Wisconsin,1,sklearn RF reference,0.9649122807017544,0.9629870129870131,0.9981984932852931
Breast Cancer Wisconsin,2,Single Tree,0.8771929824561403,0.8680555555555556,0.864723223059286
Breast Cancer Wisconsin,2,AdaBoost,0.9122807017543859,0.9047778149014367,0.990501146413364
Breast Cancer Wisconsin,2,Random Forest,0.9473684210526315,0.942866688940862,0.9792007861120209
Breast Cancer Wisconsin,2,sklearn RF reference,0.9122807017543859,0.9037162162162162,0.976580412708811
Breast Cancer Wisconsin,3,Single Tree,0.9035087719298246,0.8958039052762775,0.8938492063492064
Breast Cancer Wisconsin,3,AdaBoost,0.956140350877193,0.9521289997480473,0.9821428571428572
Breast Cancer Wisconsin,3,Random Forest,0.9649122807017544,0.9619111259605746,0.9902447089947091
Breast Cancer Wisconsin,3,sklearn RF reference,0.9649122807017544,0.9619111259605746,0.9793320105820106
Breast Cancer Wisconsin,4,Single Tree,0.9210526315789473,0.9170641015277665,0.9275793650793649
Breast Cancer Wisconsin,4,AdaBoost,0.9736842105263158,0.9721203228173148,0.9993386243386243
Breast Cancer Wisconsin,4,Random Forest,0.956140350877193,0.9539245008487591,0.9952050264550265
Breast Cancer Wisconsin,4,sklearn RF reference,0.956140350877193,0.9539245008487591,0.9957010582010581
Breast Cancer Wisconsin,5,Single Tree,0.9292035398230089,0.9234417344173442,0.9193494299128102
Breast Cancer Wisconsin,5,AdaBoost,0.9646017699115044,0.9613013698630137,0.9909456740442656
Breast Cancer Wisconsin,5,Random Forest,0.9557522123893806,0.9518944231587909,0.9872568745808182
Breast Cancer Wisconsin,5,sklearn RF reference,0.9646017699115044,0.9617208672086721,0.9891012743125418
Adult Income,1,Single Tree,0.8167673252124066,0.7509144645332826,0.753481674979817
Adult Income,1,AdaBoost,0.853618589415498,0.7734610392432479,0.9040977678992324
Adult Income,1,Random Forest,0.8628314054662709,0.7975623340734446,0.9139262279409115
Adult Income,1,sklearn RF reference,0.8514689323369843,0.7861855615955826,0.8990524343780286
Adult Income,2,Single Tree,0.8163578667212611,0.7502863667212973,0.7527727289523841
Adult Income,2,AdaBoost,0.8597604667826799,0.7810605560916903,0.9081030222846308
Adult Income,2,Random Forest,0.8669259903777254,0.7993595151653032,0.9188208449586784
Adult Income,2,sklearn RF reference,0.8566895280990889,0.7909921891113114,0.904134547676088
Adult Income,3,Single Tree,0.8115274365274365,0.7442113682119987,0.7472095438928169
Adult Income,3,AdaBoost,0.8539107289107289,0.7726849633144397,0.9094983792410645
Adult Income,3,Random Forest,0.8623054873054873,0.7956408527467467,0.91755619392031
Adult Income,3,sklearn RF reference,0.8516584766584766,0.7857047050578756,0.9020366634195633
Adult Income,4,Single Tree,0.8131654381654382,0.7462172141535872,0.7489942703221946
Adult Income,4,AdaBoost,0.8572891072891073,0.7789917123547676,0.9127940826823434
Adult Income,4,Random Forest,0.8678337428337428,0.8043880378529401,0.9214867207635594
Adult Income,4,sklearn RF reference,0.857084357084357,0.7924843517077818,0.9070227148099415
Adult Income,5,Single Tree,0.8132678132678133,0.7432119662017237,0.7429268396332265
Adult Income,5,AdaBoost,0.8490990990990991,0.762608529111338,0.9020678445953233
Adult Income,5,Random Forest,0.8593366093366094,0.788838505675223,0.9150675445304906
Adult Income,5,sklearn RF reference,0.8512489762489762,0.7821597998907891,0.8990836074138528
Covertype,1,Single Tree,0.8093,0.7352354172228068,0.8461524239432568
Covertype,1,AdaBoost,0.6025,0.32196967726555326,0.8918941793871876
Covertype,1,Random Forest,0.8086,0.7418866387400664,0.9760709091078298
Covertype,1,sklearn RF reference,0.8785,0.824518054507405,0.9860227367758778
Covertype,2,Single Tree,0.8108,0.73180062427974,0.8441512967149718
Covertype,2,AdaBoost,0.574,0.277856568717798,0.8875264803172037
Covertype,2,Random Forest,0.8098,0.7349985172153299,0.976820297542072
Covertype,2,sklearn RF reference,0.8757,0.8079630514365477,0.9861576711208897
Covertype,3,Single Tree,0.8196,0.7169915204371057,0.8327600559674213
Covertype,3,AdaBoost,0.5802,0.35322802822100435,0.8984791720368943
Covertype,3,Random Forest,0.8173,0.7407133461224041,0.97816390646037
Covertype,3,sklearn RF reference,0.8835,0.8158959360178709,0.9851696554554156
Covertype,4,Single Tree,0.8096,0.7224008262590024,0.8338836416039711
Covertype,4,AdaBoost,0.5449,0.3144833784845148,0.8843975378598794
Covertype,4,Random Forest,0.8176,0.7493771076393408,0.9776506494891695
Covertype,4,sklearn RF reference,0.8825,0.8054043944751579,0.9848753163243168
Covertype,5,Single Tree,0.8066,0.7071431640426606,0.8299296089738547
Covertype,5,AdaBoost,0.5985,0.3326774018467761,0.892269115989536
Covertype,5,Random Forest,0.8099,0.737901653758267,0.9768853983926987
Covertype,5,sklearn RF reference,0.8802,0.8148383678147119,0.985409475280084
MNIST2Class,1,Single Tree,0.996617050067659,0.9966030157313928,0.9966916083353448
MNIST2Class,1,AdaBoost,0.9979702300405954,0.9979614496051861,0.999988046389205
MNIST2Class,1,Random Forest,0.9989851150202977,0.9989808600975354,0.9999928738089492
MNIST2Class,1,sklearn RF reference,0.9989851150202977,0.9989807701391855,0.9999963219659092
MNIST2Class,2,Single Tree,0.9956021650879567,0.9955817366644688,0.9954270542395091
MNIST2Class,2,AdaBoost,0.9986468200270636,0.998641086983305,0.9999903451605118
MNIST2Class,2,Random Forest,0.9993234100135318,0.9993204832017286,0.9999988506143467
MNIST2Class,2,sklearn RF reference,0.9993234100135318,0.9993204832017286,0.9999970115973011
MNIST2Class,3,Single Tree,0.9935723951285521,0.9935443017750412,0.9935222923347471
MNIST2Class,3,AdaBoost,0.9989851150202977,0.9989807701391855,0.9999963219659093
MNIST2Class,3,Random Forest,0.9993234100135318,0.9993204832017286,0.9999983908600854
MNIST2Class,3,sklearn RF reference,0.9996617050067659,0.9996602567130619,0.9999983908600852
MNIST2Class,4,Single Tree,0.9956021650879567,0.995582143019325,0.9955151548591187
MNIST2Class,4,AdaBoost,0.9986468200270636,0.9986408445523431,0.9999848267490621
MNIST2Class,4,Random Forest,0.9989851150202977,0.998980587362387,0.9999848267490621
MNIST2Class,4,sklearn RF reference,0.9989851150202977,0.998980587362387,0.9999926432722726
MNIST2Class,5,Single Tree,0.9952638700947226,0.9952412054754195,0.995062716103877
MNIST2Class,5,AdaBoost,0.9989851150202977,0.998980587362387,0.999985286544545
MNIST2Class,5,Random Forest,0.9986468200270636,0.9986408445523431,0.9999931030677556
MNIST2Class,5,sklearn RF reference,0.9979702300405954,0.9979612668285147,0.9999926432722724
