dataset,model,accuracy_mean,accuracy_std,accuracy_pm,macro_f1_mean,macro_f1_std,macro_f1_pm,auc_roc_mean,auc_roc_std,auc_roc_pm
Breast Cancer Wisconsin,Single Tree,0.9104021114733737,0.01860497377139152,0.910 +/- 0.019,0.9041452530457775,0.020300339356058777,0.904 +/- 0.020,0.9047556657776112,0.022970745889032064,0.905 +/- 0.023
Breast Cancer Wisconsin,AdaBoost,0.956078248719143,0.022850904457530897,0.956 +/- 0.023,0.9524897660294254,0.024999689255967024,0.952 +/- 0.025,0.9919305670370197,0.005944307318693703,0.992 +/- 0.006
Breast Cancer Wisconsin,Random Forest,0.9578171091445429,0.00658685537401851,0.958 +/- 0.007,0.9547167503792,0.007337212412871811,0.955 +/- 0.007,0.9900539325531137,0.006651509603479624,0.990 +/- 0.007
Breast Cancer Wisconsin,sklearn RF reference,0.9525694767893185,0.020422547491372112,0.953 +/- 0.020,0.948851944644247,0.022798755882080215,0.949 +/- 0.023,0.987782649817943,0.008600385767638306,0.988 +/- 0.009
Adult Income,Single Tree,0.8142171759788711,0.002016331236171829,0.814 +/- 0.002,0.746968275964378,0.0031259119541111853,0.747 +/- 0.003,0.7490770115560877,0.0038568972818970797,0.749 +/- 0.004
Adult Income,AdaBoost,0.8547355982994228,0.003618506681625766,0.855 +/- 0.004,0.7737613600230967,0.006422916916054332,0.774 +/- 0.006,0.9073122193405189,0.0038286199770163516,0.907 +/- 0.004
Adult Income,Random Forest,0.8638466470639672,0.003134505291952524,0.864 +/- 0.003,0.7971578491027316,0.005075417695424818,0.797 +/- 0.005,0.9173715064227899,0.0026925031087331667,0.917 +/- 0.003
Adult Income,sklearn RF reference,0.8536300540855766,0.0026653212517060423,0.854 +/- 0.003,0.7875053214726682,0.0037551983862457393,0.788 +/- 0.004,0.9022659935394948,0.003053687215381716,0.902 +/- 0.003
Covertype,Single Tree,0.8111799999999999,0.004428272800991376,0.811 +/- 0.004,0.7227143104482632,0.010145426675473433,0.723 +/- 0.010,0.8373754054406952,0.006509723601392696,0.837 +/- 0.007
Covertype,AdaBoost,0.58002,0.020574489058054393,0.580 +/- 0.021,0.32004301090712933,0.024799962375225793,0.320 +/- 0.025,0.8909132971181402,0.004774274497318184,0.891 +/- 0.005
Covertype,Random Forest,0.81264,0.003955047408059751,0.813 +/- 0.004,0.7409754526950817,0.0048302952973806575,0.741 +/- 0.005,0.9771182321984281,0.0007234314245617132,0.977 +/- 0.001
Covertype,sklearn RF reference,0.8800799999999999,0.0028017137612539687,0.880 +/- 0.003,0.8137239608503387,0.0067063417573679385,0.814 +/- 0.007,0.9855269709913168,0.0004918739281486737,0.986 +/- 0.000
MNIST2Class,Single Tree,0.9953315290933695,0.0009897658212671017,0.995 +/- 0.001,0.9953104805331294,0.000994204614059675,0.995 +/- 0.001,0.9952437651745193,0.0010197788549145999,0.995 +/- 0.001
MNIST2Class,AdaBoost,0.9986468200270636,0.0003705835977707732,0.999 +/- 0.000,0.9986409477284814,0.0003721698755502418,0.999 +/- 0.000,0.9999889653618466,4.184012211405111e-06,1.000 +/- 0.000
MNIST2Class,Random Forest,0.9990527740189445,0.00025315679206857174,0.999 +/- 0.000,0.9990486516831446,0.0002542911149700274,0.999 +/- 0.000,0.9999936090200399,5.064881275742964e-06,1.000 +/- 0.000
MNIST2Class,sklearn RF reference,0.9989851150202977,0.0005660757960311724,0.999 +/- 0.001,0.9989806728489755,0.0005685936959710075,0.999 +/- 0.001,0.9999954021935681,2.3491097256893308e-06,1.000 +/- 0.000
