dataset,n_estimators,test_accuracy,oob_accuracy
Breast Cancer Wisconsin,1,0.8849557522123894,0.9044943820224719
Breast Cancer Wisconsin,10,0.9469026548672567,0.9403973509933775
Breast Cancer Wisconsin,25,0.9469026548672567,0.9451754385964912
Breast Cancer Wisconsin,50,0.9469026548672567,0.9539473684210527
Breast Cancer Wisconsin,100,0.9646017699115044,0.9583333333333334
Breast Cancer Wisconsin,150,0.9646017699115044,0.9539473684210527
Breast Cancer Wisconsin,200,0.9646017699115044,0.956140350877193
Adult Income,1,0.8361998361998362,0.8350045578851413
Adult Income,10,0.8623054873054873,0.8491205380237972
Adult Income,25,0.8664004914004914,0.859599733838358
Adult Income,50,0.8678337428337428,0.8633362338127655
Adult Income,100,0.8684479934479934,0.8631059016225623
Adult Income,150,0.8679361179361179,0.8645134872293597
Adult Income,200,0.8678337428337428,0.8642575625735783
Covertype,1,0.6876687668766877,0.7537548674207306
Covertype,10,0.7880788078807881,0.7989837714522735
Covertype,25,0.8036803680368036,0.842460833276322
Covertype,50,0.806980698069807,0.8555449134569337
Covertype,100,0.8133813381338134,0.8652938359444482
Covertype,150,0.8151815181518152,0.8683724430457687
Covertype,200,0.8160816081608161,0.871143189436957
MNIST2Class,1,0.989851150202977,0.9930795847750865
MNIST2Class,10,0.9983085250338295,0.9970049632038337
MNIST2Class,25,0.9989851150202977,0.9983083819673517
MNIST2Class,50,0.9989851150202977,0.998393098782138
MNIST2Class,100,0.9989851150202977,0.9984776725304465
MNIST2Class,150,0.9989851150202977,0.9984776725304465
MNIST2Class,200,0.9989851150202977,0.998393098782138
